"","x"
"206",-1.02356129970086
"207",-1.01104577314968
"208",-0.998615150862455
"209",-0.986269085789012
"210",-0.97400723166384
"211",-0.961829243005289
"212",-0.949734775114798
"213",-0.937723484076076
"214",-0.925795026754341
"215",-0.913949060795505
"216",-0.902185244625398
"217",-0.890503237448976
"218",-0.878902699249519
"219",-0.867383290787861
"220",-0.855944673601579
"221",-0.844586510004215
"222",-0.833308463084478
"223",-0.82211019670546
"224",-0.810991375503841
"225",-0.799951664889099
"226",-0.788990731042725
"227",-0.778108240917421
"228",-0.76730386223632
"229",-0.75657726349219
"230",-0.745928113946646
"231",-0.735356083629358
"232",-0.724860843337259
"233",-0.71444206463376
"234",-0.704099419847955
"235",-0.693832582073827
"236",-0.683641225169467
"237",-0.673525023756275
"238",-0.663483653218171
"239",-0.653516789700809
"240",-0.643624110110782
"241",-0.633805292114833
"242",-0.624060014139067
"243",-0.61438795536815
"244",-0.604788795744535
"245",-0.595262215967653
"246",-0.585807897493144
"247",-0.576425522532042
"248",-0.567114774050007
"249",-0.557875335766517
"250",-0.548706892154088
"251",-0.53960912843748
"252",-0.530581730592905
"253",-0.52162438534724
"254",-0.512736780177234
"255",-0.503918603308718
"256",-0.495169543715812
"257",-0.486489291120139
"258",-0.477877535990033
"259",-0.469333969539745
"260",-0.460858283728657
"261",-0.452450171260489
"262",-0.444109325582507
"263",-0.43583544088474
"264",-0.427628212099176
"265",-0.419487334898986
"266",-0.411412505697722
"267",-0.403403421648533
"268",-0.395459780643375
"269",-0.387581281312213
"270",-0.37976762302224
"271",-0.372018505877077
"272",-0.364333630715993
"273",-0.356712699113103
"274",-0.34915541337659
"275",-0.3416614765479
"276",-0.334230592400965
"277",-0.326862465441403
"278",-0.319556800905731
"279",-0.312313304760578
"280",-0.305131683701886
"281",-0.298011645154127
"282",-0.29095289726951
"283",-0.283955148927189
"284",-0.277018109732473
"285",-0.270141490016035
"286",-0.263325000833128
"287",-0.256568353962782
"288",-0.249871261907025
"289",-0.243233437890084
"290",-0.236654595857601
"291",-0.230134450475841
"292",-0.223672717130894
"293",-0.217269111927896
"294",-0.21092335169023
"295",-0.204635153958741
"296",-0.19840423699094
"297",-0.192230319760218
"298",-0.186113121955052
"299",-0.180052363978219
"300",-0.174047766945997
"301",-0.168099052687388
"302",-0.162205943743313
"303",-0.15636816336583
"304",-0.150585435517339
"305",-0.144857484869799
"306",-0.139184036803928
"307",-0.133564817408415
"308",-0.127999553479137
"309",-0.122487972518356
"310",-0.11702980273394
"311",-0.111624773038565
"312",-0.106272613048924
"313",-0.100973053084946
"314",-0.095725824168992
"315",-0.0905306580250744
"316",-0.0853872870780631
"317",-0.0802954444528944
"318",-0.0752548639737802
"319",-0.0702652801634182
"320",-0.0653264282422032
"321",-0.0604380441274343
"322",-0.0555998644325216
"323",-0.0508116264662029
"324",-0.0460730682317471
"325",-0.0413839284261647
"326",-0.0367439464394193
"327",-0.032152862353636
"328",-0.0276104169423104
"329",-0.0231163516695166
"330",-0.018670408689121
"331",-0.014272330843987
"332",-0.00992186166518794
"333",-0.00561874537121454
"334",-0.00136272686718331
"335",0.0028464482559496
"336",0.00700903372218398
"337",0.0111252825712624
"338",0.0151954471594634
"339",0.0192197791603914
"340",0.0231985295657652
"341",0.0271319486862116
"342",0.0310202861520542
"343",0.0348637909141039
"344",0.0386627112444502
"345",0.0424172947372516
"346",0.046127788309525
"347",0.0497944382019395
"348",0.0534174899796019
"349",0.0569971885328522
"350",0.0605337780780508
"351",0.0640275021583716
"352",0.0674786036445908
"353",0.0708873247358766
"354",0.0742539069605825
"355",0.0775785911770365
"356",0.0808616175743312
"357",0.0841032256731152
"358",0.0873036543263825
"359",0.0904631417202648
"360",0.09358192537482
"361",0.0966602421448253
"362",0.0996983282205645
"363",0.102696419128622
"364",0.105654749732671
"365",0.108573554234264
"366",0.111453066173627
"367",0.114293518430444
"368",0.117095143224652
"369",0.119858172117231
"370",0.122582836010994
"371",0.125269365151375
